MWSC,Name,RAJ2000,DEJ2000,d,logt,e_logt,
645,FSR_0799         ,85.567,33.66,2473,9.095,       ,
647,L_1641S          ,85.62,-8.15,497,6.62,       ,
650,FSR_0823         ,85.645,29.548,1100,8.805,0.112,
651,Teutsch_45       ,85.65,30.973,2999,7.1,       ,
653,FSR_0826         ,85.72,28.957,2100,7.3,       ,
655,NGC_2026         ,85.774,20.145,1226,8.62,       ,
656,B_35             ,85.921,9.095,612,8.92,       ,
657,Koposov_77       ,85.968,21.705,1750,9.445,       ,
661,Teutsch_10       ,86.107,28.825,2600,7.8,       ,
662,FSR_0850         ,86.28,24.738,1836,7.3,       ,
663,NGC_2039         ,86.55,8.675,2241,8.58,0.07,
664,NGC_2068         ,86.677,0.1,747,6.45,       ,
665,NGC_2071         ,86.791,0.3,953,6.55,       ,
666,IRAS_05439+3035  ,86.833,30.6,2600,7.2,       ,
667,FSR_1066         ,86.85,-6.865,1656,9.025,       ,
669,Koposov_10       ,86.875,35.419,1819,8.775,       ,
670,FSR_0864         ,86.947,21.95,3102,8.25,       ,
671,FSR_0978         ,87.007,5.395,2143,7.95,       ,
672,Basel_4          ,87.25,30.205,2801,8.665,0.053,
673,Collinder_74     ,87.147,7.38,2637,9.09,0.026,
674,FSR_0846         ,87.21,26.365,1881,7.3,       ,
675,King_8           ,87.327,33.63,4500,9.005,0.01,
677,Czernik_23       ,87.525,28.9,2449,8.48,       ,
678,BDSB_77          ,87.555,23.878,4857,6.2,       ,
679,Berkeley_72      ,87.577,22.24,3753,8.84,       ,
680,FSR_0849         ,87.817,25.77,1063,8.635,       ,
681,FSR_1123         ,87.922,-12.22,2268,8.25,       ,
682,Berkeley_21      ,87.945,21.815,5716,9.3,       ,
684,Dutra-Bica_83    ,88.02,27.378,1863,8.78,0.059,
685,S_242 Sh2_242    ,88.053,26.958,2186,6.4,       ,
687,Koposov_43       ,88.072,29.897,3000,9.115,0.023,
689,NGC_2099         ,88.087,32.57,1400,8.55,       ,
690,FSR_0693         ,88.057,54.19,2201,9,       ,
691,FSR_0852         ,88.372,25.173,2149,9,       ,
692,NGC_2112         ,88.432,0.413,977,9.315,       ,
693,Teutsch_51       ,88.459,26.83,3787,8.725,0.034,
694,NGC_2132         ,88.83,-59.92,1003,9.045,0.127,
695,Czernik_24       ,88.86,20.885,5041,9.1,       ,
696,Basel_11B        ,89.562,21.99,1318,8.98,0.015,
697,IRAS_05553+1631  ,89.55,16.525,8885,8.55,       ,
698,Berkeley_22      ,89.631,7.757,5493,9.5,       ,
700,FSR_1116         ,90.157,-10.64,1579,7.785,       ,
701,Koposov_12       ,90.261,35.277,1900,8.91,       ,
704,NGC_2129         ,90.276,23.34,1651,7.48,       ,
705,FSR_1078         ,90.312,-6.085,1661,9.235,       ,
708,NGC_2126         ,90.648,49.872,1100,9.45,       ,
709,FSR_1131         ,90.652,-12.018,4432,9.3,       ,
710,NGC_2141         ,90.727,10.46,4364,9.245,       ,
711,NGC_2143         ,90.799,5.745,1490,9.09,0.028,
713,FSR_0839         ,91.012,30.27,2254,8.86,       ,
714,FSR_0894         ,91.023,20.28,2886,7.2,       ,
716,FSR_1205         ,91.042,-20.159,1893,9.1,       ,
717,FSR_0883         ,91.08,22.003,2977,8.735,0.046,
718,FSR_0928         ,91.099,15.42,3145,7.5,       ,
719,FSR_0932         ,91.11,14.562,1508,9.1,       ,
721,ESO_425-06       ,91.215,-29.185,1077,9.4,       ,
722,IC_2157          ,91.207,24.07,2311,7.9,       ,
724,ESO_489-01       ,91.252,-26.733,981,8.85,0.039,
725,FSR_0925         ,91.27,16.1,3616,8.2,       ,
726,FSR_0833         ,91.35,30.793,2088,9.1,0.029,
727,FSR_0921         ,91.32,16.675,1810,8.75,       ,
728,FSR_0933         ,91.387,14.552,1875,8.465,0.028,
729,FSR_0942         ,91.495,13.66,2082,9,       ,
730,FSR_0900         ,91.615,19.227,3465,6.61,       ,
731,FSR_0904         ,91.762,19.022,1427,7.8,       ,
732,IRAS_06046-0603  ,91.795,-6.065,799,8.53,       ,
733,NGC_2158         ,91.857,24.092,4770,9.33,       ,
735,FSR_0903         ,91.882,19.095,1633,8.81,0.028,
736,FSR_0844         ,91.947,29.64,1254,8.6,       ,
737,FSR_0906         ,91.947,18.775,1202,8.955,0.047,
739,FSR_1115         ,92.055,-9.58,1068,6.9,       ,
740,NGC_2169         ,92.1,13.99,1032,6.89,       ,
742,FSR_1132         ,92.085,-11.5,1892,8.85,       ,
747,Kharchenko_1     ,92.187,24.317,2839,8.35,       ,
748,FSR_1110         ,92.22,-8.947,2025,8.65,       ,
751,Koposov_53       ,92.23,26.26,2982,8.055,       ,
754,NGC_2168         ,92.302,24.36,830,8.255,0.015,
755,FSR_0858         ,92.292,25.68,2127,9.005,0.057,
756,Dias_2           ,92.28,4.585,2973,9.27,0.02,
758,DC_8             ,92.329,31.223,2710,8.605,0.111,
759,Sh2_252C         ,92.337,20.66,2109,8.25,       ,
763,Platais_5        ,93.675,-22.5,272,7.78,       ,
764,NGC_2175         ,92.422,20.505,1636,7,       ,
765,NGC_2180         ,92.437,4.805,1882,9.355,       ,
769,FSR_0960         ,92.46,12.345,2120,8.52,0.063,
770,FSR_1105         ,92.497,-7.985,1581,8.63,       ,
771,FSR_1094         ,92.497,-6.32,1627,8.85,       ,
772,Koposov_63       ,92.508,24.55,3220,9.22,0.016,
775,FSR_0952         ,92.572,13.017,1994,9.105,0.025,
776,FSR_0924         ,92.608,16.833,1721,8.87,       ,
777,FSR_0923         ,92.64,16.97,1444,8.725,       ,
779,NGC_2183         ,92.7,-6.2,1047,7.15,       ,
780,Pismis_27        ,92.73,20.615,1664,8.25,0.203,
781,FSR_0939         ,92.742,14.396,2397,8.71,       ,
784,NGC_2184         ,92.827,-3.42,621,8.6,       ,
785,FSR_0968         ,92.841,11.871,2187,8.52,0.045,
786,FSR_0985         ,92.94,7.02,2450,8.5,       ,
787,NGC_2186         ,93.037,5.463,1445,8.2,       ,
788,NGC_2189         ,93.03,1.055,1468,9.175,0.078,
789,FSR_1000         ,93.067,5.185,1917,8.79,0.057,
790,FSR_0956         ,93.105,13.02,2180,8.1,       ,
795,Czernik_25       ,93.423,6.953,1861,8.52,0.044,
796,FSR_0931         ,93.252,15.93,1659,7.4,       ,
800,FSR_0937         ,93.426,14.995,4597,8.98,0.03,
802,FSR_0893         ,93.427,21.552,1485,8.725,       ,
803,NGC_2194         ,93.442,12.818,2804,8.8,0.02,
807,FSR_1120         ,93.51,-9.375,830,7.3,       ,
808,Kronberger_12    ,93.562,22.483,1893,8.87,0.084,
809,FSR_0940         ,93.562,14.8,2421,9.4,       ,
813,ASCC_22          ,93.63,0.66,771,8.455,       ,
814,ESO_425-15       ,93.667,-29.38,1070,9.005,       ,
816,IRAS_06117+1901  ,93.69,19.019,2140,8.05,       ,
817,Skiff_J0614+12.9 ,93.708,12.865,2874,8.45,       ,
819,BDSB_82          ,93.747,12.338,1934,7.915,0.151,
820,NGC_2192         ,93.82,39.868,3501,9.25,0.044,
821,Platais_6        ,93.765,3.85,347,7.96,0.006,
822,NGC_2204         ,93.888,-18.66,3790,9.29,0.018,
823,FSR_0909         ,93.934,19.005,2167,8.445,       ,
825,BDSB_81          ,93.948,14.277,2669,8.115,       ,
826,FSR_0811         ,94.102,36.365,5444,8.8,       ,
827,FSR_1117         ,94.129,-8.945,1209,7.5,       ,
828,NGC_2202         ,94.215,6.027,1940,9.2,       ,
829,FSR_0891         ,94.392,22.427,2075,8.37,       ,
830,FSR_1056         ,94.47,-1.69,2589,9.045,       ,
831,Koposov_62       ,94.509,24.695,3435,9.415,0.026,
832,FSR_0902         ,94.575,20.54,1243,7.145,       ,
835,FSR_0953         ,94.759,14.13,1734,8.75,0.082,
836,FSR_0988         ,94.74,7.327,2928,8.92,       ,
837,Skiff_J0619+18.5 ,94.84,18.51,1380,7.9,       ,
838,Collinder_89     ,94.8,23.35,1021,7.825,       ,
839,ASCC_23          ,95.089,46.675,600,8.485,       ,
840,FSR_1107         ,95.097,-7.005,3009,8.65,       ,
841,NGC_2220         ,95.22,-44.7,1393,8.56,0.055,
843,NGC_2215         ,95.22,-7.295,1141,8.55,       ,
844,Collinder_91     ,95.46,2.374,1467,8.64,0.036,
845,FSR_0859         ,95.448,27.1,4193,8.99,0.034,
846,FSR_0941         ,95.446,15.733,4610,8.665,0.04,
847,Berkeley_73      ,95.515,-6.319,7881,9.15,       ,
848,FSR_0888         ,95.557,23.41,1536,7.6,       ,
849,FSR_0951         ,95.584,14.705,1619,8.7,       ,
850,Collinder_92     ,95.73,5.1,2670,9.145,0.052,
851,FSR_0880         ,95.76,24.532,2473,9,       ,
852,FSR_0890         ,95.782,23.199,1522,7.5,       ,
854,Dolidze_22       ,95.809,4.59,1775,8.37,       ,
855,NGC_2219         ,95.932,-4.695,2325,8.75,       ,
856,FSR_0962         ,95.962,14.1,2670,8.935,0.04,
857,FSR_0955         ,95.962,14.515,1994,7.4,       ,
858,FSR_0927         ,96.06,18.017,2981,8.65,0.041,
859,FSR_1136         ,96.187,-10.265,1287,8.2,       ,
860,FSR_1235         ,96.27,-23.31,1871,9.255,       ,
861,BDSB_91          ,96.322,-10.555,1918,6.65,       ,
862,FSR_0957         ,96.36,14.575,1786,8.735,0.035,
863,Teutsch_11       ,96.346,13.867,5302,8.8,       ,
864,Bochum_1         ,96.322,19.78,3065,6.6,       ,
865,FSR_0929         ,96.39,17.72,1296,8.495,       ,
867,FSR_0948         ,96.468,15.86,2991,8.78,0.035,
868,NGC_2225         ,96.655,-9.64,3201,9.165,       ,
871,NGC_2232         ,96.99,-4.795,330,7.7,       ,
873,FSR_1033         ,97.087,2.935,1710,8.515,       ,
874,FSR_0936         ,97.147,16.927,3161,8.955,0.045,
875,ASCC_24          ,97.185,-6.98,381,7.3,       ,
876,FSR_0831         ,97.2,33.645,2443,9.265,0.082,
877,FSR_0967         ,97.315,14.255,4783,8.625,0.075,
878,NGC_2234         ,97.335,16.759,6871,8.08,0.044,
879,Alessi_53        ,97.33,9.165,2394,7,       ,
880,NGC_2243         ,97.392,-31.285,4446,9.135,       ,
881,NGC_2236         ,97.417,6.817,2654,8.75,       ,
883,FSR_1031         ,97.575,3.39,1791,8.635,0.056,
884,Collinder_96     ,97.627,2.845,1056,7.8,       ,
885,Alessi_14        ,97.608,9.741,2088,8.6,       ,
886,Czernik_26       ,97.755,-4.215,7655,9,       ,
887,vdBergh_80       ,97.708,-9.65,2069,6.68,       ,
889,Collinder_95     ,97.77,9.91,635,7.3,       ,
890,IC_446           ,97.759,10.435,1871,7.3,       ,
891,FSR_0979         ,97.815,11.083,1933,8.7,       ,
892,Collinder_97     ,97.92,5.975,1259,8.4,       ,
893,Juchert_18       ,97.863,6.804,2290,9.02,0.04,
895,FSR_0977         ,97.965,11.845,1916,8.68,0.071,
896,NGC_2244         ,97.98,4.94,1532,6.7,       ,
898,FSR_0974         ,98.145,12.543,2308,8.91,0.031,
900,NGC_2240         ,98.332,35.265,1551,9.2,       ,
902,Berkeley_23      ,98.325,20.525,4724,8.97,0.02,
904,FSR_0905         ,98.427,22.288,1786,8.3,0.064,
905,NGC_2250         ,98.422,-5.08,1338,8.495,       ,
907,Basel_8          ,98.55,8.01,1432,7.925,0.099,
908,RMC-4b           ,98.559,4.46,1174,8.29,       ,
909,FSR_1317         ,98.535,-34.944,2180,8.6,       ,
910,FSR_1099         ,98.625,-3.84,1952,8.635,       ,
911,NGC_2252         ,98.625,5.37,900,8.86,0.02,
912,FSR_0848         ,98.611,31.4,3300,9.195,0.064,
913,FSR_1106         ,98.632,-5.245,2038,8.9,       ,
915,NGC_2248         ,98.655,26.305,3001,9.16,       ,
916,NGC_2251         ,98.655,8.37,1329,8.455,0.074,
917,FSR_1063         ,98.658,-0.267,2032,8.86,0.012,
919,FSR_0935         ,98.79,17.742,2955,8.8,       ,
920,FSR_1187         ,98.872,-14.99,2817,8.45,       ,
924,NGC_2254         ,98.941,7.67,2928,8.675,0.05,
925,FSR_1065         ,99.019,-0.667,1551,8.79,       ,
926,FSR_1032         ,99.067,4,1944,8.72,       ,
927,ESO_426-26       ,99.075,-30.865,1474,9.215,       ,
928,FSR_1126         ,99.112,-7.32,2201,9.125,       ,
929,Ruprecht_1       ,99.135,-14.193,1204,8.79,       ,
930,Collinder_104    ,99.112,4.773,2025,8.5,       ,
932,Basel_7          ,99.075,8.33,1560,8.105,       ,
933,Trumpler_5       ,99.12,9.47,2753,9.5,       ,
934,vdBergh_1        ,99.255,3.07,1490,8.315,       ,
935,FSR_1151         ,99.292,-10.085,2864,8.89,0.046,
936,Collinder_106    ,99.307,6.07,1581,6.415,       ,
937,Berkeley_24      ,99.45,-0.867,5527,9.21,       ,
938,FSR_1092         ,99.424,-2.819,1922,8.8,       ,
940,NGC_2259         ,99.633,10.875,3060,8.625,       ,
941,Collinder_110    ,99.675,2.035,2362,9.22,0.01,
943,Collinder_107    ,99.625,4.635,1447,7.165,0.016,
944,Collinder_111    ,99.708,6.915,1191,7.7,       ,
946,NGC_2262         ,99.915,1.14,2511,8.995,0.025,
947,FSR_1053         ,99.993,1.533,1202,8.8,       ,
948,FSR_0975         ,99.997,13.265,4626,9.1,       ,
949,vdBergh_83       ,100.035,-27.29,1925,9.35,       ,
950,FSR_1285         ,100.005,-28.77,1685,8.67,0.012,
951,FSR_1082         ,100.027,-1.745,4040,8.84,       ,
952,FSR_0998         ,100.092,9.005,1775,8.95,       ,
953,FSR_1210         ,100.177,-17.16,3720,9.3,       ,
954,NGC_2264         ,100.245,9.88,650,6.75,       ,
955,Berkeley_25      ,100.305,-16.495,11400,9.7,       ,
956,Ruprecht_2       ,100.254,-29.55,3161,8.945,0.028,
957,Mon_OB1-D        ,100.267,9.6,2647,8.23,0.049,
959,NGC_2265         ,100.437,11.91,2892,7.25,0.016,
960,FSR_1077         ,100.515,-0.883,1298,8.935,       ,
962,Ruprecht_3       ,100.522,-29.445,1259,9.1,       ,
963,Dolidze_23       ,100.657,0.1,1195,8.65,       ,
964,Alessi_15        ,100.762,1.675,2362,9.19,       ,
965,FSR_0878         ,100.785,27.165,3744,9.2,       ,
966,NGC_2269         ,100.807,4.615,1585,8.665,       ,
967,NGC_2266         ,100.834,26.985,3311,9.265,0.036,
968,Alessi_16        ,100.89,2.175,2088,8.65,       ,
969,Teutsch_13       ,100.98,1.395,2753,7.295,       ,
970,FSR_0999         ,100.972,9.425,1306,8.85,       ,
971,NGC_2270         ,100.995,3.47,1415,8.915,0.036,
972,Dolidze_24       ,101.182,1.735,1261,8.45,       ,
973,FSR_1303         ,101.182,-31.893,1833,9.175,       ,
974,Patchick_90      ,101.157,-0.56,6365,8.95,       ,
975,Dolidze_25       ,101.28,0.24,2800,6.75,       ,
976,SAI_69           ,101.367,-11.79,7468,9.1,       ,
977,ASCC_25          ,101.385,24.595,1989,9.1,       ,
978,NGC_2287         ,101.512,-20.745,769,8.25,       ,
980,FSR_1167         ,101.587,-10.985,2325,9.385,0.05,
981,Collinder_115    ,101.647,1.797,2272,7.715,       ,
983,vdBergh_85       ,101.73,1.325,1893,7.685,       ,
984,Dolidze_49       ,101.76,-0.01,2398,8.33,       ,
985,FSR_1057         ,101.79,1.965,2910,9.065,0.023,
986,FSR_1072         ,101.883,0.03,2204,8.2,       ,
987,NGC_2286         ,101.913,-3.155,1964,8.64,0.012,
989,NGC_2281         ,102.075,41.08,500,8.785,0.022,
990,Ruprecht_4       ,102.24,-10.51,4591,9.005,       ,
991,Bochum_2         ,102.21,0.38,2778,6.665,       ,
992,NGC_2298         ,102.247,-36.005,10815,10.1,       ,
993,Berkeley_75      ,102.264,-23.985,6273,9.3,       ,
994,Berkeley_26      ,102.547,5.755,2724,8.71,0.118,
995,ASCC_26          ,102.607,7.25,981,8.15,       ,
996,FSR_1125         ,102.585,-5.47,2220,7.6,       ,
997,FSR_1025         ,102.625,6.6,2095,8.6,       ,
998,ESO_309-03       ,102.663,-42.383,2057,9.05,0.043,
999,Berkeley_27      ,102.84,5.763,5042,9.3,       ,
1000,NGC_2301         ,102.945,0.465,805,8.35,       ,
1001,NGC_2302         ,102.967,-7.08,1310,8.35,       ,
1002,Berkeley_28      ,103.035,2.91,1964,7.535,       ,
1003,FSR_1051         ,103.035,3.655,1180,8.79,       ,
1004,Alessi_59        ,103.087,2.19,3511,7,       ,
1005,FSR_1191         ,103.12,-13.235,3361,9.1,       ,
1006,Ruprecht_149     ,103.12,-23.658,3969,9.3,       ,
1007,FSR_1085         ,103.309,-0.19,1429,8.735,0.073,
1008,Berkeley_29      ,103.26,16.93,10797,9.1,       ,
1009,ASCC_27          ,103.485,-4.39,1159,8.7,       ,
1010,DC_4             ,103.522,-13.555,2304,8.7,       ,
1011,ASCC_28          ,103.575,-0.15,946,8.49,0.002,
1012,FSR_1029         ,103.515,6.725,1905,8.93,       ,
1013,ASCC_29          ,103.582,-1.69,826,8.06,       ,
1014,NGC_2306         ,103.605,-7.205,1249,9,       ,
1015,FSR_1197         ,103.624,-13.658,1634,9,       ,
1016,BDSB_88          ,103.642,-4.53,1791,7.4,       ,
1017,FSR_1279         ,103.669,-26.795,2237,8.75,       ,
1018,Collinder_121    ,103.642,-24.325,1096,7.08,       ,
1019,NGC_2304         ,103.8,17.98,3896,8.835,       ,
1020,Ruprecht_5       ,103.809,-18.6,4712,9.15,       ,
1022,FSR_0866         ,103.815,29.73,1664,9.2,       ,
1023,FSR_1172         ,103.908,-11.03,2290,8.8,       ,
1024,SAI_72           ,103.95,0.222,3239,8.485,       ,
1025,Ruprecht_6       ,103.98,-13.28,5919,9.3,       ,
1026,NGC_2309         ,104.02,-7.175,2384,8.735,0.044,
1027,FSR_0860         ,104.163,30.478,2695,9.3,       ,
1028,ASCC_30          ,104.257,-6.215,814,8.245,       ,
1030,BDSB_93          ,104.295,-8.19,2173,6.5,       ,
1031,FSR_1144         ,104.316,-6.637,1737,8.18,       ,
1032,Berkeley_31      ,104.395,8.298,6242,9.3,       ,
1033,Berkeley_33      ,104.46,-13.22,4785,9.04,0.024,
1034,Berkeley_30      ,104.449,3.217,4983,8.495,       ,
1035,NGC_2311         ,104.445,-4.61,2221,8.815,0.036,
1036,FSR_1159         ,104.478,-8.745,1296,7.45,       ,
1037,Berkeley_32      ,104.527,6.435,4996,9.45,       ,
1038,FSR_1080         ,104.565,0.884,1753,8.37,       ,
1039,Mon_OB3          ,104.655,-4.335,2120,7.94,       ,
1040,FSR_1164         ,104.67,-9.165,1614,8.87,       ,
1041,IRAS_06562-0337  ,104.683,-3.685,6091,7.7,       ,
1042,FSR_1129         ,104.692,-4.93,1881,8.385,       ,
1043,NGC_2312         ,104.7,10.28,2436,8.81,       ,
1044,FSR_1195         ,104.82,-12.95,3150,8.2,       ,
1047,IRAS_06567-0355  ,104.82,-3.97,1943,7.35,       ,
1048,FSR_1163         ,104.835,-9.083,1706,9.15,       ,
1050,NGC_2318         ,104.869,-13.662,1713,8.75,       ,
1051,FSR_1185         ,104.902,-11.974,5374,9.1,       ,
1052,Sh2_287C         ,104.902,-4.667,3344,6.9,       ,
1053,BDSB_90          ,104.91,-4.86,2661,7.2,       ,
1055,Ivanov_9         ,104.932,-4.067,2839,6.5,       ,
1056,FSR_1171         ,105.045,-10.323,4933,9.2,       ,
1057,Wit_1            ,105.094,-5.83,1952,6.35,       ,
1058,Berkeley_34      ,105.09,-0.235,7279,9.45,       ,
1060,Tombaugh_1       ,105.124,-20.565,2642,9.065,0.02,
1061,Ivanov_4         ,105.157,-8.84,2025,8.3,0.055,
1062,FSR_0843         ,105.135,35.07,1155,9.15,       ,
1064,NGC_2319         ,105.171,3.035,985,9.035,0.025,
1066,ASCC_31          ,105.27,3.53,747,8.4,       ,
1067,Wit_2            ,105.34,-3.117,2830,8.785,0.021,
1068,Ruprecht_8       ,105.438,-13.56,2190,8.845,       ,
1069,ASCC_32          ,105.525,-26.56,767,8.215,       ,
1070,Ruprecht_9       ,105.529,-21.917,3434,8.795,0.054,
1071,Alessi_60        ,105.625,-1.117,2610,8.64,0.029,
1072,NGC_2323         ,105.679,-8.37,902,8.255,       ,
1073,FSR_1184         ,105.667,-11.435,6017,8.35,       ,
1074,FSR_1169         ,105.712,-9.255,1905,8.675,0.044,
1075,NGC_2348         ,105.765,-67.39,1076,9.475,       ,
1076,Tombaugh_2       ,105.771,-20.815,6565,9.01,       ,
1077,ASCC_33          ,105.937,-25.055,704,7.7,       ,
1078,Czernik_27       ,105.78,6.413,4338,8.995,       ,
1079,Bochum_3         ,105.87,-5.005,2151,8.095,0.167,
1080,vdBergh_92       ,106.02,-11.53,1570,7.36,0.343,
1081,Haffner_3        ,106.027,-6.13,1925,8.6,       ,
1083,FSR_1149         ,105.997,-6.385,2972,8.265,       ,
1084,NGC_2324         ,106.042,1.038,3842,8.68,       ,
1085,FSR_1100         ,105.99,-0.085,1923,8.685,       ,
1087,Auner_1          ,106.06,-19.744,7154,9.35,       ,
1088,FSR_1194         ,106.095,-12.005,1184,7.815,       ,
1089,FSR_1150         ,106.153,-6.6,5664,8.8,       ,
1090,BDSB_96          ,106.327,-12.325,1401,7.16,       ,
1091,FSR_1178         ,106.35,-10.68,2375,6.65,       ,
1092,FSR_1192         ,106.458,-11.625,2821,8.55,       ,
1093,Ruprecht_150     ,106.492,-28.41,1789,8.7,       ,
1094,Haffner_4        ,106.522,-14.995,4458,9.115,0.023,
1095,ESO_427-32       ,106.582,-30.16,1786,9.105,0.056,
1096,FSR_1039         ,106.552,7.4,2605,9.05,0.066,
1097,FSR_1199         ,106.575,-12.57,1188,8.645,0.025,
1098,Ruprecht_10      ,106.615,-20.095,2345,8.8,0.044,
1099,Berkeley_76      ,106.665,-11.73,2360,8.87,       ,
1100,NGC_2335         ,106.71,-10.03,1411,8.2,       ,
1101,Collinder_465    ,106.71,-10.52,5410,8.8,       ,
1102,Collinder_466    ,106.734,-10.72,1037,8.405,       ,
1103,NGC_2331         ,106.68,27.255,1946,8.6,       ,
1105,FSR_1209         ,106.767,-13.82,2964,9.12,       ,
1107,Ruprecht_12      ,106.792,-28.222,2221,8.695,       ,
1108,Ruprecht_11      ,106.842,-20.795,1958,8.8,       ,
1109,FSR_1223         ,106.842,-15.98,2255,8.95,       ,
1110,FSR_1202         ,106.845,-12.783,2436,9.225,       ,
1111,FSR_1170         ,106.875,-8.865,2276,8.755,0.073,
1112,FSR_1207         ,106.882,-13.33,1928,8.335,0.038,
1113,FSR_0876         ,106.905,30.17,2413,9.2,       ,
1114,NGC_2338         ,106.95,-5.717,1671,8.62,       ,
1115,FSR_1212         ,106.909,-14.15,1780,8.65,       ,
1116,Ruprecht_13      ,107.002,-25.88,2276,8.89,0.026,
1117,FSR_1200         ,106.995,-12.464,1297,8.715,       ,
1118,FSR_1111         ,107.025,-1.528,1544,8.875,       ,
1119,NGC_2343         ,107.017,-10.6,1029,8.135,0.164,
1120,NGC_2345         ,107.062,-13.2,2605,7.9,       ,
1121,FSR_1204         ,107.073,-12.89,1706,9.32,       ,
1122,FSR_1219         ,107.115,-15.365,1721,8.755,0.027,
1123,FSR_1289         ,107.137,-26.158,1791,8.605,       ,
1125,FSR_1173         ,107.187,-9.427,2883,8.64,       ,
1126,FSR_1113         ,107.287,-1.5,5805,8.3,       ,
1127,Haffner_23       ,107.373,-16.92,1000,8.825,       ,
1129,Berkeley_35      ,107.484,2.733,5012,9.065,0.031,
1133,DBSB_3           ,107.578,-18.486,3360,7,       ,
1134,ASCC_34          ,107.655,6.08,477,8.53,       ,
1135,Dias_3           ,107.595,-8.395,7241,8.485,0.23,
1136,FSR_1158         ,107.7,-6.78,1864,8.555,       ,
1137,Alessi_21        ,107.67,-9.3,596,7.7,       ,
1138,NGC_2349         ,107.677,-8.605,1819,9.14,       ,
1139,FSR_1160         ,107.79,-7.117,1031,8.505,       ,
1140,FSR_1091         ,107.902,1.605,1952,8.865,0.038,
1141,ASCC_35          ,108.172,2.105,787,8.48,       ,
1142,FSR_1281         ,108.22,-25.231,1847,8.68,       ,
1143,NGC_2352         ,108.271,-24.029,3000,8.775,       ,
1144,FSR_1183         ,108.339,-9.892,1634,8.585,0.048,
1145,FSR_1076         ,108.36,3.148,1031,8.96,       ,
1146,NGC_2351         ,108.382,-10.48,5841,9,       ,
1147,Collinder_132    ,108.36,-30.975,330,7.51,       ,
1148,NGC_2354         ,108.535,-25.693,2865,8.61,       ,
1149,FSR_1153         ,108.592,-5.66,3095,8.065,0.176,
1150,FSR_1326         ,108.615,-34.305,1298,8.78,0.09,
1151,ASCC_36          ,108.625,-21.123,813,8.33,       ,
1152,NGC_2353         ,108.627,-10.25,1180,7.2,       ,
1153,FSR_1332         ,108.705,-34.877,2173,8.42,0.02,
1154,Ruprecht_14      ,108.715,-31.36,4023,9.06,0.038,
1155,FSR_1180         ,108.922,-9.41,1000,8.675,       ,
1156,Berkeley_36      ,109.083,-13.178,5041,9.4,       ,
1157,Alessi_3         ,109.05,-46.617,311,8.87,       ,
1159,NGC_2358         ,109.252,-17.155,739,8.785,       ,
1160,NGC_2355         ,109.246,13.75,2128,8.9,       ,
1161,ESO_367-10       ,109.26,-35.29,3027,8.315,0.119,
1162,Basel_11A        ,109.278,-13.982,1537,7.42,       ,
1163,FSR_1228         ,109.297,-15.795,4186,6.75,       ,
1165,NGC_2360         ,109.425,-15.64,1560,8.65,0.018,
1166,Collinder_135    ,109.485,-37.035,361,7.6,       ,
1167,FSR_1306         ,109.507,-28.99,3066,9.09,       ,
1168,Haffner_5        ,109.492,-22.667,2069,8.6,       ,
1169,ASCC_37          ,109.515,-24.5,1571,8.73,0.059,
1171,FSR_1377         ,109.575,-44.67,4640,8.845,0.058,
1172,Teutsch_49       ,109.609,-17.575,3369,8.9,       ,
1173,NGC_2362         ,109.68,-24.96,1375,6.64,       ,
1174,Bica_4           ,109.779,-22.02,3930,8.125,0.14,
1175,Ruprecht_15      ,109.882,-19.63,2362,8.75,       ,
1176,FSR_1284         ,109.995,-24.53,1935,9.145,0.059,
1177,Haffner_6        ,110.014,-13.15,3320,8.865,       ,
1178,NGC_2367         ,110.055,-21.865,1772,7.425,0.008,
1179,DBSB_12          ,110.055,-27.771,3497,8.47,       ,
1180,Berkeley_37      ,110.077,-0.994,4815,8.8,       ,
1182,FSR_1118         ,110.212,-0.844,2089,8.9,       ,
1183,FSR_1255         ,110.212,-19.632,1023,8.495,       ,
1184,Saurer_1         ,110.233,1.8,13719,9.6,       ,
1186,NGC_2368         ,110.272,-10.335,4889,8.975,0.044,
1187,FSR_1258         ,110.317,-20.22,2928,9.1,       ,
1189,Berkeley_77      ,110.362,-3.233,4699,8.835,       ,
1190,King_23          ,110.446,-0.983,3211,8.95,       ,
1191,FSR_0944         ,110.452,22.5,4755,8.7,       ,
1192,FSR_1083         ,110.512,3.58,1775,8.81,       ,
1194,FSR_1157         ,110.655,-5.115,926,7.7,       ,
1195,FSR_1252         ,110.64,-18.7,1899,8.995,0.027,
1196,FSR_1470         ,110.7,-59.199,1055,8.63,       ,
1197,Haffner_7        ,110.733,-29.49,1893,9,       ,
1198,Ruprecht_16      ,110.79,-19.473,1701,8.65,       ,
1199,Collinder_140    ,111.03,-31.89,386,7.7,       ,
1200,Haffner_8        ,110.793,-12.308,1197,9.035,0.02,
1201,FSR_1440         ,110.905,-53.947,1631,8.76,       ,
1202,Ruprecht_17      ,110.907,-23.185,1263,8.325,       ,
1203,Berkeley_78      ,110.925,5.366,4670,9.45,       ,
1205,FSR_1293         ,110.983,-25.359,962,9.005,0.038,
1206,NGC_2374         ,111,-13.27,1394,8.75,       ,
1207,FSR_1297         ,110.992,-25.9,3654,6.7,       ,
1208,Ivanov_6         ,111.058,-24.633,2434,6.6,       ,
